B1,Female,Double,
B2,Female,Double,
B3,Female,Double,
B4,Female,Double,
B5,Female,Double,
B6,Female,Double,
B7,Female,Single,
B8,Female,Double,
B9,Female,Single,
B10,Female,Double,
B11,Female,Double,
B12,Female,Double,
B13,Female,Single,
B14,Female,Single,
B15,Female,Single,
B16,Female,Single,
B17,Female,Single,
B18,Female,Single,
B19,Female,Single,
B20,Female,Single,
,,,
LN101,Male,Double,
LN102,Male,Double,
LN103,Male,Single,
LN104,Male,Single,
LN105,Male,Single,
LN106,Male,Double,
LN107,Male,Double,
LN201,Male,Double,
LN202,Male,Double,
LN203,Male,Double,
LN204,Male,Single,
LN205,Male,Double,
LN206,Male,Double,
LN207,Male,Double,
LN208,Male,Double,
LN209,Male,Double,
LN210,Male,Double,
LN301,Male,Double,
LN302,Male,Double,
LN303,Male,Double,